behav,prop,pred.state
occl,0.031224813,predator absent
occl,0.101005314,predator absent
occl,0,predator absent
occl,0.030007995,predator absent
occl,0.071202952,predator absent
occl,0.0370797,predator absent
occl,0,predator absent
occl,0.039981898,predator absent
occl,0,predator absent
occl,0,predator absent
occl,0.173010264,predator absent
occl,0,predator absent
occl,0,predator absent
occl,0,predator absent
occl,0.099580441,predator absent
occl,0,predator absent
occl,0.044840656,predator absent
