,file,sex,file.num,days.spider.starved,age,humidity,pop,rec.time,temp,time.stamp,code,event,state,state.event,strike,pred.state,chasing
1,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,5531,g,0,groom,groom,0,0,0
2,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,20532,w,0,walk,walk,0,0,0
3,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,32861,r,0,run,run,0,0,0
4,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,36049,g,0,groom,groom,0,0,0
5,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,617883,1,0,groom,groom,0,far,0
6,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,621461,f,fly,groom,fly,0,far,0
7,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,627992,w,0,walk,walk,0,far,0
8,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,630024,f,fly,walk,fly,0,far,0
9,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,633040,d,wing_disp,walk,wing_disp,0,far,0
10,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,634290,f,fly,walk,fly,0,far,0
11,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,635337,f,fly,walk,fly,0,far,0
12,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,644118,b,pause,walk,pause,0,far,0
13,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,645103,j,jump,walk,jump,0,far,0
14,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,646071,3,0,walk,walk,0,close,0
15,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,652493,f,fly,walk,fly,0,close,0
16,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,653024,4,0,walk,walk,0,far,0
17,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,655853,f,fly,walk,fly,0,far,0
18,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,657540,f,fly,walk,fly,0,far,0
19,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,659759,w,0,walk,walk,0,far,0
20,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,662322,i,turn,walk,turn,0,far,0
21,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,663869,j,jump,walk,jump,0,far,0
22,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,668290,y,ab_lift,walk,ab_lift,0,far,0
23,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,671681,f,fly,walk,fly,0,far,0
24,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,674275,f,fly,walk,fly,0,far,0
25,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,681713,g,0,groom,groom,0,far,0
26,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,700982,3,0,groom,groom,0,close,0
27,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,705216,f,fly,groom,fly,0,close,0
28,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,706514,4,0,groom,groom,0,far,0
29,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,709655,j,jump,groom,jump,0,far,0
30,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,709999,3,0,groom,groom,0,close,0
31,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,716499,b,pause,groom,pause,0,close,0
32,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,717077,i,turn,groom,turn,0,close,0
33,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,717749,w,0,walk,walk,0,close,0
34,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,718858,4,0,walk,walk,0,far,0
35,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,727586,j,jump,walk,jump,0,far,0
36,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,728977,f,fly,walk,fly,0,far,0
37,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,730524,w,0,walk,walk,0,far,0
38,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,734571,f,fly,walk,fly,0,far,0
39,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,737024,w,0,walk,walk,0,far,0
40,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,744029,r,0,run,run,0,far,0
41,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,762155,y,ab_lift,run,ab_lift,0,far,0
42,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,770077,i,turn,run,turn,0,far,0
43,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,777187,w,0,walk,walk,0,far,0
44,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,784516,r,0,run,run,0,far,0
45,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,787594,3,0,run,run,0,close,0
46,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,793798,4,0,run,run,0,far,0
47,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,800907,d,wing_disp,run,wing_disp,0,far,0
48,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,805329,i,turn,run,turn,0,far,0
49,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,810658,j,jump,run,jump,0,far,0
50,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,813439,f,fly,run,fly,0,far,0
51,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,814111,f,fly,run,fly,0,far,0
52,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,817392,f,fly,run,fly,0,far,0
53,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,820080,w,0,walk,walk,0,far,0
54,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,844848,g,0,groom,groom,0,far,0
55,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,848770,i,turn,groom,turn,0,far,0
56,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,851458,g,0,groom,groom,0,far,0
57,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,861286,w,0,walk,walk,0,far,0
58,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,864224,i,turn,walk,turn,0,far,0
59,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,868646,i,turn,walk,turn,0,far,0
60,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,876115,3,0,walk,walk,0,close,0
61,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,881943,b,pause,walk,pause,0,close,0
62,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,882631,i,turn,walk,turn,0,close,0
63,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,901976,i,turn,walk,turn,0,close,0
64,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,940837,g,0,groom,groom,0,close,0
65,10_1_12_a1m.csv,male,1,N/A,4,N/A,FVW,937,23,947462,i,turn,groom,turn,0,close,0
