file.num,behav,new.dur,pred.state,sex,age,pop,temp,humidity,date,predator
1,walk,474.8795,close,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,pause,486.427,close,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,ab_lift,486.591,close,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,turn,486.8725,close,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,ab_lift,488.2395,close,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,ab_lift,488.591,close,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,ab_lift,490.052,close,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,ab_lift,490.9975,close,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,ab_lift,491.4975,close,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,turn,493.3885,close,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,walk,494.3885,close,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,walk,496.248,close,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,fly,499.2325,close,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,walk,500.2325,close,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,groom,504.1935,close,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,walk,510.733,close,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,walk,511.147,close,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,run,514.108,close,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,run,514.577,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,walk,517.0535,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,fly,541.727,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,walk,542.727,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,walk,544.985,close,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,run,546.0475,close,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,run,547.204,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,walk,548.5165,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,run,550.165,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,walk,552.009,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,groom,571.9945,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
