file.num,file,sex,age,pop,humidity,rec.time,temp,time.stamp,code,event,state,state.event,strike,pred.state,chasing,predator
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,754188,w,0,walk,walk,0,far,0,mantid
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,757924,g,0,groom,groom,0,far,0,mantid
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,769913,w,0,walk,walk,0,far,0,mantid
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,776173,3,0,walk,walk,0,close,0,mantid
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,779869,4,0,walk,walk,0,far,0,mantid
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,782253,r,0,run,run,0,far,0,mantid
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,786337,w,0,walk,walk,0,far,0,mantid
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,813465,3,0,walk,walk,0,close,0,mantid
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,819371,s,0,stop,stop,0,close,0,mantid
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,820507,w,0,walk,walk,0,close,0,mantid
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,831284,g,0,groom,groom,0,close,0,mantid
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,850636,w,0,walk,walk,0,close,0,mantid
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,851000,4,0,walk,walk,0,far,0,mantid
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,862141,g,0,groom,groom,0,far,0,mantid
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,887280,w,0,walk,walk,0,far,0,mantid
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,888771,g,0,groom,groom,0,far,0,mantid
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,905735,w,0,walk,walk,0,far,0,mantid
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,914947,3,0,walk,walk,0,close,0,mantid
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,927354,4,0,walk,walk,0,far,0,mantid
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,942935,d,wing_disp,walk,wingdisp,0,far,0,mantid
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,975241,h,0,timeout,timeout,0,far,0,mantid
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,977976,w,0,walk,walk,0,far,0,mantid
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,978609,3,0,walk,walk,0,close,0,mantid
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,981297,y,ab_lift,walk,ablift,0,close,0,mantid
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,982136,y,ab_lift,walk,ablift,0,close,0,mantid
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,983193,q,0,rev_walk,rev_walk,0,close,0,mantid
