file.num,file,sex,age,humidity,rec.time,temp,time.stamp,code,event,state,state.event,strike,pred.state,chasing,predator,date
1,10_1_12_a1m.csv,male,4,,937,23,881943,b,pause,walk,pause,0,close,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,882631,i,turn,walk,turn,0,close,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,901976,i,turn,walk,turn,0,close,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,940837,g,0,groom,groom,0,close,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,947462,i,turn,groom,turn,0,close,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,949759,w,0,walk,walk,0,close,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,972854,b,pause,walk,pause,0,close,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,973182,y,ab_lift,walk,ab_lift,0,close,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,973745,i,turn,walk,turn,0,close,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,976479,y,ab_lift,walk,ab_lift,0,close,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,977182,y,ab_lift,walk,ab_lift,0,close,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,980104,y,ab_lift,walk,ab_lift,0,close,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,981995,y,ab_lift,walk,ab_lift,0,close,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,982995,y,ab_lift,walk,ab_lift,0,close,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,986777,i,turn,walk,turn,0,close,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,992496,e,0,inch,inch,0,close,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,998465,f,fly,inch,fly,0,close,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1008387,g,0,groom,groom,0,close,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1021466,w,0,walk,walk,0,close,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1022294,3,0,walk,walk,0,close,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1028216,r,0,run,run,0,close,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1029154,4,0,run,run,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1034107,w,0,walk,walk,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1083454,f,fly,walk,fly,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1089970,3,0,walk,walk,0,close,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1092095,r,0,run,run,0,close,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1094408,4,0,run,run,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1097033,w,0,walk,walk,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1100330,r,0,run,run,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1104018,w,0,walk,walk,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1143989,g,0,groom,groom,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1164146,w,0,walk,walk,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1177053,3,0,walk,walk,0,close,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1183335,4,0,walk,walk,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1196554,y,ab_lift,walk,ab_lift,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1202336,y,ab_lift,walk,ab_lift,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1202805,y,ab_lift,walk,ab_lift,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1203086,y,ab_lift,walk,ab_lift,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1203305,y,ab_lift,walk,ab_lift,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1203523,y,ab_lift,walk,ab_lift,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1204695,y,ab_lift,walk,ab_lift,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1213805,b,pause,walk,pause,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1235166,e,0,inch,inch,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1235744,s,0,stop,stop,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1244400,y,ab_lift,stop,ab_lift,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1248432,j,jump,stop,jump,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1250322,f,fly,stop,fly,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1254354,w,0,walk,walk,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1258166,i,turn,walk,turn,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1261792,r,0,run,run,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1273870,b,pause,run,pause,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1276199,f,fly,run,fly,0,far,0,spider,10_1_12
