behav,prop,pred
occl,0.016711098,mantid
occl,0,mantid
occl,0.046024853,mantid
occl,0.097702979,mantid
occl,0.013419757,mantid
occl,0.086617238,mantid
occl,0.069305522,mantid
occl,0.080325629,mantid
occl,0,mantid
occl,0.0272179,mantid
occl,0.101128065,mantid
occl,0,mantid
occl,0.030140611,mantid
occl,0.071479763,mantid
occl,0.037375236,mantid
occl,0,mantid
occl,0.042095859,mantid
occl,0,mantid
occl,0,mantid
occl,0.176211648,mantid
occl,0,mantid
occl,0,mantid
occl,0,mantid
occl,0.099923983,mantid
occl,0,mantid
occl,0.081150299,mantid
