behav,freq,pred
turn,1.140758509,mantid
turn,0.202098796,mantid
turn,0.231975055,mantid
turn,0.631225129,mantid
turn,0.767078279,mantid
turn,0.383996314,mantid
turn,0.395722895,mantid
turn,0.194286362,mantid
turn,1.127595231,mantid
turn,0.200858671,mantid
turn,0,mantid
turn,1.505497418,mantid
turn,0.397520795,mantid
turn,0.19584131,mantid
turn,1.051082615,mantid
turn,0.222313618,mantid
turn,0,mantid
turn,2.541490649,mantid
turn,1.751276567,mantid
turn,0,mantid
turn,0.424373165,mantid
turn,0.194086822,mantid
turn,0.167989349,mantid
turn,3.132432276,mantid
