,file,sex,age,pop,humidity,rec.time,temp,time.stamp,code,event,state,strike,pred.state,chasing,file.num,date,predator
61,1_3_14,Male,3,FVW,28,1104,21,1634208,y,ab_lift,walk,0,far,0,1,1_3_14,nopred
62,1_3_14,Male,3,FVW,28,1104,21,1649408,g,0,groom,0,far,0,1,1_3_14,nopred
63,1_3_14,Male,3,FVW,28,1104,21,2051864,EOF,end_trial,groom,0,far,0,1,1_3_14,nopred
64,1_3_14,Female,3,FVW,20,1135,21,2049,g,0,groom,0,0,0,2,1_3_14,nopred
65,1_3_14,Female,3,FVW,20,1135,21,50557,f,fly,groom,0,0,0,2,1_3_14,nopred
66,1_3_14,Female,3,FVW,20,1135,21,52349,w,0,walk,0,0,0,2,1_3_14,nopred
67,1_3_14,Female,3,FVW,20,1135,21,70384,g,0,groom,0,0,0,2,1_3_14,nopred
68,1_3_14,Female,3,FVW,20,1135,21,89623,w,0,walk,0,0,0,2,1_3_14,nopred
69,1_3_14,Female,3,FVW,20,1135,21,96533,g,0,groom,0,0,0,2,1_3_14,nopred
70,1_3_14,Female,3,FVW,20,1135,21,239613,w,0,walk,0,0,0,2,1_3_14,nopred
71,1_3_14,Female,3,FVW,20,1135,21,244229,g,0,groom,0,0,0,2,1_3_14,nopred
72,1_3_14,Female,3,FVW,20,1135,21,249501,w,0,walk,0,0,0,2,1_3_14,nopred
73,1_3_14,Female,3,FVW,20,1135,21,256164,s,0,stop,0,0,0,2,1_3_14,nopred
74,1_3_14,Female,3,FVW,20,1135,21,257052,f,fly,stop,0,0,0,2,1_3_14,nopred
75,1_3_14,Female,3,FVW,20,1135,21,258684,s,0,stop,0,0,0,2,1_3_14,nopred
76,1_3_14,Female,3,FVW,20,1135,21,259294,f,fly,stop,0,0,0,2,1_3_14,nopred
77,1_3_14,Female,3,FVW,20,1135,21,261811,w,0,walk,0,0,0,2,1_3_14,nopred
78,1_3_14,Female,3,FVW,20,1135,21,262596,f,fly,walk,0,0,0,2,1_3_14,nopred
79,1_3_14,Female,3,FVW,20,1135,21,263317,s,0,stop,0,0,0,2,1_3_14,nopred
80,1_3_14,Female,3,FVW,20,1135,21,263717,w,0,walk,0,0,0,2,1_3_14,nopred
81,1_3_14,Female,3,FVW,20,1135,21,265283,s,0,stop,0,0,0,2,1_3_14,nopred
82,1_3_14,Female,3,FVW,20,1135,21,265588,w,0,walk,0,0,0,2,1_3_14,nopred
83,1_3_14,Female,3,FVW,20,1135,21,267662,s,0,stop,0,0,0,2,1_3_14,nopred
84,1_3_14,Female,3,FVW,20,1135,21,268595,f,fly,stop,0,0,0,2,1_3_14,nopred
85,1_3_14,Female,3,FVW,20,1135,21,269627,s,0,stop,0,0,0,2,1_3_14,nopred
86,1_3_14,Female,3,FVW,20,1135,21,269932,f,fly,stop,0,0,0,2,1_3_14,nopred
87,1_3_14,Female,3,FVW,20,1135,21,270659,s,0,stop,0,0,0,2,1_3_14,nopred
88,1_3_14,Female,3,FVW,20,1135,21,271118,f,fly,stop,0,0,0,2,1_3_14,nopred
89,1_3_14,Female,3,FVW,20,1135,21,271811,w,0,walk,0,0,0,2,1_3_14,nopred
90,1_3_14,Female,3,FVW,20,1135,21,276658,f,fly,walk,0,0,0,2,1_3_14,nopred
91,1_3_14,Female,3,FVW,20,1135,21,277364,w,0,walk,0,0,0,2,1_3_14,nopred
92,1_3_14,Female,3,FVW,20,1135,21,278625,d,wing_disp,walk,0,0,0,2,1_3_14,nopred
93,1_3_14,Female,3,FVW,20,1135,21,280977,s,0,stop,0,0,0,2,1_3_14,nopred
94,1_3_14,Female,3,FVW,20,1135,21,281449,f,fly,stop,0,0,0,2,1_3_14,nopred
95,1_3_14,Female,3,FVW,20,1135,21,284149,s,0,stop,0,0,0,2,1_3_14,nopred
96,1_3_14,Female,3,FVW,20,1135,21,284817,w,0,walk,0,0,0,2,1_3_14,nopred
97,1_3_14,Female,3,FVW,20,1135,21,287801,s,0,stop,0,0,0,2,1_3_14,nopred
98,1_3_14,Female,3,FVW,20,1135,21,288346,f,fly,stop,0,0,0,2,1_3_14,nopred
99,1_3_14,Female,3,FVW,20,1135,21,288865,s,0,stop,0,0,0,2,1_3_14,nopred
100,1_3_14,Female,3,FVW,20,1135,21,290474,f,fly,stop,0,0,0,2,1_3_14,nopred
101,1_3_14,Female,3,FVW,20,1135,21,290793,s,0,stop,0,0,0,2,1_3_14,nopred
102,1_3_14,Female,3,FVW,20,1135,21,291357,w,0,walk,0,0,0,2,1_3_14,nopred
103,1_3_14,Female,3,FVW,20,1135,21,292008,f,fly,walk,0,0,0,2,1_3_14,nopred
104,1_3_14,Female,3,FVW,20,1135,21,292568,s,0,stop,0,0,0,2,1_3_14,nopred
105,1_3_14,Female,3,FVW,20,1135,21,293320,w,0,walk,0,0,0,2,1_3_14,nopred
106,1_3_14,Female,3,FVW,20,1135,21,294260,f,fly,walk,0,0,0,2,1_3_14,nopred
107,1_3_14,Female,3,FVW,20,1135,21,295737,w,0,walk,0,0,0,2,1_3_14,nopred
108,1_3_14,Female,3,FVW,20,1135,21,309465,g,0,groom,0,0,0,2,1_3_14,nopred
109,1_3_14,Female,3,FVW,20,1135,21,311898,w,0,walk,0,0,0,2,1_3_14,nopred
110,1_3_14,Female,3,FVW,20,1135,21,339020,g,0,groom,0,0,0,2,1_3_14,nopred
111,1_3_14,Female,3,FVW,20,1135,21,341716,w,0,walk,0,0,0,2,1_3_14,nopred
112,1_3_14,Female,3,FVW,20,1135,21,345330,g,0,groom,0,0,0,2,1_3_14,nopred
113,1_3_14,Female,3,FVW,20,1135,21,371324,w,0,walk,0,0,0,2,1_3_14,nopred
114,1_3_14,Female,3,FVW,20,1135,21,375234,g,0,groom,0,0,0,2,1_3_14,nopred
115,1_3_14,Female,3,FVW,20,1135,21,379234,f,fly,groom,0,0,0,2,1_3_14,nopred
116,1_3_14,Female,3,FVW,20,1135,21,380768,w,0,walk,0,0,0,2,1_3_14,nopred
117,1_3_14,Female,3,FVW,20,1135,21,386157,f,fly,walk,0,0,0,2,1_3_14,nopred
118,1_3_14,Female,3,FVW,20,1135,21,386780,w,0,walk,0,0,0,2,1_3_14,nopred
119,1_3_14,Female,3,FVW,20,1135,21,402838,i,turn,walk,0,0,0,2,1_3_14,nopred
120,1_3_14,Female,3,FVW,20,1135,21,428023,f,fly,walk,0,0,0,2,1_3_14,nopred
121,1_3_14,Female,3,FVW,20,1135,21,428813,s,0,stop,0,0,0,2,1_3_14,nopred
122,1_3_14,Female,3,FVW,20,1135,21,431397,w,0,walk,0,0,0,2,1_3_14,nopred
123,1_3_14,Female,3,FVW,20,1135,21,435188,f,fly,walk,0,0,0,2,1_3_14,nopred
124,1_3_14,Female,3,FVW,20,1135,21,436179,w,0,walk,0,0,0,2,1_3_14,nopred
125,1_3_14,Female,3,FVW,20,1135,21,439775,g,0,groom,0,0,0,2,1_3_14,nopred
126,1_3_14,Female,3,FVW,20,1135,21,445440,f,fly,groom,0,0,0,2,1_3_14,nopred
127,1_3_14,Female,3,FVW,20,1135,21,446713,s,0,stop,0,0,0,2,1_3_14,nopred
128,1_3_14,Female,3,FVW,20,1135,21,451968,g,0,groom,0,0,0,2,1_3_14,nopred
129,1_3_14,Female,3,FVW,20,1135,21,456046,w,0,walk,0,0,0,2,1_3_14,nopred
130,1_3_14,Female,3,FVW,20,1135,21,458296,g,0,groom,0,0,0,2,1_3_14,nopred
131,1_3_14,Female,3,FVW,20,1135,21,481795,w,0,walk,0,0,0,2,1_3_14,nopred
132,1_3_14,Female,3,FVW,20,1135,21,485623,g,0,groom,0,0,0,2,1_3_14,nopred
133,1_3_14,Female,3,FVW,20,1135,21,517858,w,0,walk,0,0,0,2,1_3_14,nopred
134,1_3_14,Female,3,FVW,20,1135,21,532451,f,fly,walk,0,0,0,2,1_3_14,nopred
135,1_3_14,Female,3,FVW,20,1135,21,533763,s,0,stop,0,0,0,2,1_3_14,nopred
136,1_3_14,Female,3,FVW,20,1135,21,534683,f,fly,stop,0,0,0,2,1_3_14,nopred
137,1_3_14,Female,3,FVW,20,1135,21,535515,s,0,stop,0,0,0,2,1_3_14,nopred
138,1_3_14,Female,3,FVW,20,1135,21,536051,f,fly,stop,0,0,0,2,1_3_14,nopred
139,1_3_14,Female,3,FVW,20,1135,21,537451,w,0,walk,0,0,0,2,1_3_14,nopred
140,1_3_14,Female,3,FVW,20,1135,21,539013,f,fly,walk,0,0,0,2,1_3_14,nopred
141,1_3_14,Female,3,FVW,20,1135,21,540635,s,0,stop,0,0,0,2,1_3_14,nopred
