,file,sex,age,pop,humidity,rec.time,temp,time.stamp,code,event,state,strike,pred.state,chasing,file.num,state.event,predator,date
60,1_4_14,male,4,FVW,30,954,21,551614,i,turn,walk,0,0,0,1,turn,mantid,1_4_14
61,1_4_14,male,4,FVW,30,954,21,598748,s,0,stop,0,0,0,1,stop,mantid,1_4_14
62,1_4_14,male,4,FVW,30,954,21,599549,f,fly,stop,0,0,0,1,fly,mantid,1_4_14
63,1_4_14,male,4,FVW,30,954,21,604000,w,0,walk,0,0,0,1,walk,mantid,1_4_14
64,1_4_14,male,4,FVW,30,954,21,605468,g,0,groom,0,0,0,1,groom,mantid,1_4_14
65,1_4_14,male,4,FVW,30,954,21,610011,f,fly,groom,0,0,0,1,fly,mantid,1_4_14
66,1_4_14,male,4,FVW,30,954,21,611587,w,0,walk,0,0,0,1,walk,mantid,1_4_14
67,1_4_14,male,4,FVW,30,954,21,615642,d,wingdisp,walk,0,0,0,1,wingdisp,mantid,1_4_14
68,1_4_14,male,4,FVW,30,954,21,643372,g,0,groom,0,0,0,1,groom,mantid,1_4_14
69,1_4_14,male,4,FVW,30,954,21,646841,w,0,walk,0,0,0,1,walk,mantid,1_4_14
70,1_4_14,male,4,FVW,30,954,21,648706,y,ablift,walk,0,0,0,1,ablift,mantid,1_4_14
71,1_4_14,male,4,FVW,30,954,21,649363,y,ablift,walk,0,0,0,1,ablift,mantid,1_4_14
72,1_4_14,male,4,FVW,30,954,21,649929,y,ablift,walk,0,0,0,1,ablift,mantid,1_4_14
73,1_4_14,male,4,FVW,30,954,21,650674,y,ablift,walk,0,0,0,1,ablift,mantid,1_4_14
74,1_4_14,male,4,FVW,30,954,21,655585,y,ablift,walk,0,0,0,1,ablift,mantid,1_4_14
75,1_4_14,male,4,FVW,30,954,21,659422,y,ablift,walk,0,0,0,1,ablift,mantid,1_4_14
76,1_4_14,male,4,FVW,30,954,21,659898,y,ablift,walk,0,0,0,1,ablift,mantid,1_4_14
77,1_4_14,male,4,FVW,30,954,21,661729,y,ablift,walk,0,0,0,1,ablift,mantid,1_4_14
78,1_4_14,male,4,FVW,30,954,21,665425,f,fly,walk,0,0,0,1,fly,mantid,1_4_14
79,1_4_14,male,4,FVW,30,954,21,668153,s,0,stop,0,0,0,1,stop,mantid,1_4_14
80,1_4_14,male,4,FVW,30,954,21,669193,f,fly,stop,0,0,0,1,fly,mantid,1_4_14
81,1_4_14,male,4,FVW,30,954,21,678684,h,0,timeout,0,0,0,1,timeout,mantid,1_4_14
82,1_4_14,male,4,FVW,30,954,21,685878,r,0,run,0,0,0,1,run,mantid,1_4_14
83,1_4_14,male,4,FVW,30,954,21,689483,f,fly,run,0,0,0,1,fly,mantid,1_4_14
84,1_4_14,male,4,FVW,30,954,21,691155,s,0,stop,0,0,0,1,stop,mantid,1_4_14
85,1_4_14,male,4,FVW,30,954,21,692371,w,0,walk,0,0,0,1,walk,mantid,1_4_14
86,1_4_14,male,4,FVW,30,954,21,701170,s,0,stop,0,0,0,1,stop,mantid,1_4_14
87,1_4_14,male,4,FVW,30,954,21,701747,w,0,walk,0,0,0,1,walk,mantid,1_4_14
88,1_4_14,male,4,FVW,30,954,21,702867,f,fly,walk,0,0,0,1,fly,mantid,1_4_14
89,1_4_14,male,4,FVW,30,954,21,704370,w,0,walk,0,0,0,1,walk,mantid,1_4_14
90,1_4_14,male,4,FVW,30,954,21,742559,s,0,stop,0,0,0,1,stop,mantid,1_4_14
91,1_4_14,male,4,FVW,30,954,21,743863,f,fly,stop,0,0,0,1,fly,mantid,1_4_14
92,1_4_14,male,4,FVW,30,954,21,746139,w,0,walk,0,0,0,1,walk,mantid,1_4_14
93,1_4_14,male,4,FVW,30,954,21,749659,s,0,stop,0,0,0,1,stop,mantid,1_4_14
94,1_4_14,male,4,FVW,30,954,21,750587,f,fly,stop,0,0,0,1,fly,mantid,1_4_14
95,1_4_14,male,4,FVW,30,954,21,751843,w,0,walk,0,0,0,1,walk,mantid,1_4_14
96,1_4_14,male,4,FVW,30,954,21,753746,f,fly,walk,0,0,0,1,fly,mantid,1_4_14
97,1_4_14,male,4,FVW,30,954,21,754899,s,0,stop,0,0,0,1,stop,mantid,1_4_14
98,1_4_14,male,4,FVW,30,954,21,755883,f,fly,stop,0,0,0,1,fly,mantid,1_4_14
99,1_4_14,male,4,FVW,30,954,21,757298,w,0,walk,0,0,0,1,walk,mantid,1_4_14
100,1_4_14,male,4,FVW,30,954,21,759875,d,wingdisp,walk,0,0,0,1,wingdisp,mantid,1_4_14
101,1_4_14,male,4,FVW,30,954,21,761523,f,fly,walk,0,0,0,1,fly,mantid,1_4_14
102,1_4_14,male,4,FVW,30,954,21,762250,s,0,stop,0,0,0,1,stop,mantid,1_4_14
103,1_4_14,male,4,FVW,30,954,21,762954,f,fly,stop,0,0,0,1,fly,mantid,1_4_14
104,1_4_14,male,4,FVW,30,954,21,764155,s,0,stop,0,0,0,1,stop,mantid,1_4_14
105,1_4_14,male,4,FVW,30,954,21,767634,w,0,walk,0,0,0,1,walk,mantid,1_4_14
106,1_4_14,male,4,FVW,30,954,21,770447,1,0,walk,0,far,0,1,walk,mantid,1_4_14
107,1_4_14,male,4,FVW,30,954,21,773017,w,0,walk,0,far,0,1,walk,mantid,1_4_14
108,1_4_14,male,4,FVW,30,954,21,777518,s,0,stop,0,far,0,1,stop,mantid,1_4_14
109,1_4_14,male,4,FVW,30,954,21,778168,f,fly,stop,0,far,0,1,fly,mantid,1_4_14
110,1_4_14,male,4,FVW,30,954,21,779014,w,0,walk,0,far,0,1,walk,mantid,1_4_14
111,1_4_14,male,4,FVW,30,954,21,779577,r,0,run,0,far,0,1,run,mantid,1_4_14
112,1_4_14,male,4,FVW,30,954,21,785959,w,0,walk,0,far,0,1,walk,mantid,1_4_14
113,1_4_14,male,4,FVW,30,954,21,793270,3,0,walk,0,close,0,1,walk,mantid,1_4_14
114,1_4_14,male,4,FVW,30,954,21,795009,4,0,walk,0,far,0,1,walk,mantid,1_4_14
115,1_4_14,male,4,FVW,30,954,21,798022,3,0,walk,0,close,0,1,walk,mantid,1_4_14
116,1_4_14,male,4,FVW,30,954,21,800470,4,0,walk,0,far,0,1,walk,mantid,1_4_14
117,1_4_14,male,4,FVW,30,954,21,803974,i,turn,walk,0,far,0,1,turn,mantid,1_4_14
118,1_4_14,male,4,FVW,30,954,21,804717,i,turn,walk,0,far,0,1,turn,mantid,1_4_14
119,1_4_14,male,4,FVW,30,954,21,813342,3,0,walk,0,close,0,1,walk,mantid,1_4_14
120,1_4_14,male,4,FVW,30,954,21,815782,4,0,walk,0,far,0,1,walk,mantid,1_4_14
121,1_4_14,male,4,FVW,30,954,21,847957,f,fly,walk,0,far,0,1,fly,mantid,1_4_14
122,1_4_14,male,4,FVW,30,954,21,849589,w,0,walk,0,far,0,1,walk,mantid,1_4_14
123,1_4_14,male,4,FVW,30,954,21,852812,s,0,stop,0,far,0,1,stop,mantid,1_4_14
124,1_4_14,male,4,FVW,30,954,21,853949,f,fly,stop,0,far,0,1,fly,mantid,1_4_14
125,1_4_14,male,4,FVW,30,954,21,854789,s,0,stop,0,far,0,1,stop,mantid,1_4_14
126,1_4_14,male,4,FVW,30,954,21,856260,w,0,walk,0,far,0,1,walk,mantid,1_4_14
127,1_4_14,male,4,FVW,30,954,21,857165,f,fly,walk,0,far,0,1,fly,mantid,1_4_14
128,1_4_14,male,4,FVW,30,954,21,858468,w,0,walk,0,far,0,1,walk,mantid,1_4_14
129,1_4_14,male,4,FVW,30,954,21,909578,3,0,walk,0,close,0,1,walk,mantid,1_4_14
130,1_4_14,male,4,FVW,30,954,21,917322,4,0,walk,0,far,0,1,walk,mantid,1_4_14
131,1_4_14,male,4,FVW,30,954,21,922956,g,0,groom,0,far,0,1,groom,mantid,1_4_14
132,1_4_14,male,4,FVW,30,954,21,938666,w,0,walk,0,far,0,1,walk,mantid,1_4_14
133,1_4_14,male,4,FVW,30,954,21,950985,y,ablift,walk,0,far,0,1,ablift,mantid,1_4_14
134,1_4_14,male,4,FVW,30,954,21,968649,g,0,groom,0,far,0,1,groom,mantid,1_4_14
135,1_4_14,male,4,FVW,30,954,21,977574,f,fly,groom,0,far,0,1,fly,mantid,1_4_14
136,1_4_14,male,4,FVW,30,954,21,979283,s,0,stop,0,far,0,1,stop,mantid,1_4_14
137,1_4_14,male,4,FVW,30,954,21,980146,f,fly,stop,0,far,0,1,fly,mantid,1_4_14
138,1_4_14,male,4,FVW,30,954,21,980762,w,0,walk,0,far,0,1,walk,mantid,1_4_14
139,1_4_14,male,4,FVW,30,954,21,981610,f,fly,walk,0,far,0,1,fly,mantid,1_4_14
140,1_4_14,male,4,FVW,30,954,21,982322,s,0,stop,0,far,0,1,stop,mantid,1_4_14
141,1_4_14,male,4,FVW,30,954,21,983155,f,fly,stop,0,far,0,1,fly,mantid,1_4_14
142,1_4_14,male,4,FVW,30,954,21,985316,s,0,stop,0,far,0,1,stop,mantid,1_4_14
143,1_4_14,male,4,FVW,30,954,21,986131,f,fly,stop,0,far,0,1,fly,mantid,1_4_14
144,1_4_14,male,4,FVW,30,954,21,987131,w,0,walk,0,far,0,1,walk,mantid,1_4_14
145,1_4_14,male,4,FVW,30,954,21,989658,d,wingdisp,walk,0,far,0,1,wingdisp,mantid,1_4_14
146,1_4_14,male,4,FVW,30,954,21,996906,3,0,walk,0,close,0,1,walk,mantid,1_4_14
147,1_4_14,male,4,FVW,30,954,21,999869,4,0,walk,0,far,0,1,walk,mantid,1_4_14
148,1_4_14,male,4,FVW,30,954,21,1003242,i,turn,walk,0,far,0,1,turn,mantid,1_4_14
149,1_4_14,male,4,FVW,30,954,21,1026505,s,0,stop,0,far,0,1,stop,mantid,1_4_14
150,1_4_14,male,4,FVW,30,954,21,1026985,f,fly,stop,0,far,0,1,fly,mantid,1_4_14
151,1_4_14,male,4,FVW,30,954,21,1029089,s,0,stop,0,far,0,1,stop,mantid,1_4_14
152,1_4_14,male,4,FVW,30,954,21,1029641,f,fly,stop,0,far,0,1,fly,mantid,1_4_14
153,1_4_14,male,4,FVW,30,954,21,1030666,w,0,walk,0,far,0,1,walk,mantid,1_4_14
154,1_4_14,male,4,FVW,30,954,21,1032944,3,0,walk,0,close,0,1,walk,mantid,1_4_14
155,1_4_14,male,4,FVW,30,954,21,1035353,s,0,stop,0,close,0,1,stop,mantid,1_4_14
156,1_4_14,male,4,FVW,30,954,21,1037265,f,fly,stop,0,close,0,1,fly,mantid,1_4_14
157,1_4_14,male,4,FVW,30,954,21,1040968,s,0,stop,0,close,0,1,stop,mantid,1_4_14
158,1_4_14,male,4,FVW,30,954,21,1041641,f,fly,stop,0,close,0,1,fly,mantid,1_4_14
159,1_4_14,male,4,FVW,30,954,21,1042552,4,0,stop,0,far,0,1,stop,mantid,1_4_14
160,1_4_14,male,4,FVW,30,954,21,1043448,w,0,walk,0,far,0,1,walk,mantid,1_4_14
161,1_4_14,male,4,FVW,30,954,21,1061036,3,0,walk,0,close,0,1,walk,mantid,1_4_14
162,1_4_14,male,4,FVW,30,954,21,1069831,4,0,walk,0,far,0,1,walk,mantid,1_4_14
163,1_4_14,male,4,FVW,30,954,21,1080799,g,0,groom,0,far,0,1,groom,mantid,1_4_14
164,1_4_14,male,4,FVW,30,954,21,1090180,w,0,walk,0,far,0,1,walk,mantid,1_4_14
165,1_4_14,male,4,FVW,30,954,21,1095606,g,0,groom,0,far,0,1,groom,mantid,1_4_14
166,1_4_14,male,4,FVW,30,954,21,1110671,w,0,walk,0,far,0,1,walk,mantid,1_4_14
167,1_4_14,male,4,FVW,30,954,21,1124502,g,0,groom,0,far,0,1,groom,mantid,1_4_14
