file.num,file,sex,age,pop,humidity,rec.time,temp,time.stamp,code,event,state,strike,pred.state,chasing,state.event,predator,date
1,1_4_14,Male,4,FVW,31,1027,21,728773,4,0,walk,0,far,chase,walk,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,730814,7,0,walk,0,far,chase,walk,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,746648,b,pause,walk,0,far,0,pause,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,755385,h,0,timeout,0,far,0,timeout,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,762977,w,0,walk,0,far,0,walk,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,766313,y,ablift,walk,0,far,0,ablift,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,768553,y,ablift,walk,0,far,0,ablift,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,772692,y,ablift,walk,0,far,0,ablift,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,773089,y,ablift,walk,0,far,0,ablift,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,774569,y,ablift,walk,0,far,0,ablift,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,775737,y,ablift,walk,0,far,0,ablift,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,785657,h,0,timeout,0,far,0,timeout,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,787771,w,0,walk,0,far,0,walk,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,804114,3,0,walk,0,close,0,walk,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,805786,b,pause,walk,0,close,0,pause,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,809730,i,turn,walk,0,close,0,turn,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,811962,4,0,walk,0,far,0,walk,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,823327,g,0,groom,0,far,0,groom,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,831578,w,0,walk,0,far,0,walk,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,837456,h,0,timeout,0,far,0,timeout,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,846927,w,0,walk,0,far,0,walk,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,853529,g,0,groom,0,far,0,groom,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,861082,w,0,walk,0,far,0,walk,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,864410,g,0,groom,0,far,0,groom,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,876454,w,0,walk,0,far,0,walk,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,879710,b,pause,walk,0,far,0,pause,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,885267,y,ablift,walk,0,far,0,ablift,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,885589,y,ablift,walk,0,far,0,ablift,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,889932,y,ablift,walk,0,far,0,ablift,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,890310,y,ablift,walk,0,far,0,ablift,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,903327,g,0,groom,0,far,0,groom,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,928093,w,0,walk,0,far,0,walk,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,935225,g,0,groom,0,far,0,groom,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1005388,r,0,run,0,far,0,run,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1007364,w,0,walk,0,far,0,walk,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1027853,y,ablift,walk,0,far,0,ablift,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1028638,y,ablift,walk,0,far,0,ablift,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1030310,h,0,timeout,0,far,0,timeout,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1042598,r,0,run,0,far,0,run,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1045758,b,pause,run,0,far,0,pause,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1047614,w,0,walk,0,far,0,walk,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1055090,g,0,groom,0,far,0,groom,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1061552,w,0,walk,0,far,0,walk,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1068883,g,0,groom,0,far,0,groom,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1100279,f,fly,groom,0,far,0,fly,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1103827,f,fly,groom,0,far,0,fly,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1105259,w,0,walk,0,far,0,walk,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1111019,h,0,timeout,0,far,0,timeout,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1132865,w,0,walk,0,far,0,walk,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1145494,y,ablift,walk,0,far,0,ablift,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1147191,y,ablift,walk,0,far,0,ablift,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1158245,b,pause,walk,0,far,0,pause,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1167482,g,0,groom,0,far,0,groom,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1190646,i,turn,groom,0,far,0,turn,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1190974,w,0,walk,0,far,0,walk,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1209615,h,0,timeout,0,far,0,timeout,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1230674,w,0,walk,0,far,0,walk,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1231866,y,ablift,walk,0,far,0,ablift,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1249913,g,0,groom,0,far,0,groom,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1252580,w,0,walk,0,far,0,walk,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1286161,y,ablift,walk,0,far,0,ablift,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1290385,y,ablift,walk,0,far,0,ablift,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1296663,g,0,groom,0,far,0,groom,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1600995,w,0,walk,0,far,0,walk,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1626360,y,ablift,walk,0,far,0,ablift,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1628112,y,ablift,walk,0,far,0,ablift,spider,1_4_14
